"well","plate","strain","plasmid","row","column","stress","temperature","doxycycline","well_id","v_max","auc","final_abs"
"B6",1,"Tet-O7-ERG6","pRS315-ScerERG6","B",6,"0.005% SDS",37,"10 µg/mL","B6_1",0.018,24.519,0.988
"B7",1,"▲erg3","pRS315-ScerERG3","B",7,"0.005% SDS",37,"None","B7_1",0.015,18.250375,0.994
"B8",1,"▲erg3","pRS315-ScerERG3","B",8,"0.005% SDS",37,"None","B8_1",0.014,16.56825,0.877
"B9",1,"▲erg3","pRS315-ScerERG3","B",9,"0.005% SDS",37,"None","B9_1",0.018,22.562375,1.138
"B10",1,"▲erg6","pRS315-ScerERG6","B",10,"0.005% SDS",37,"None","B10_1",0.015,19.6795,1.001
"B11",1,"▲erg6","pRS315-ScerERG6","B",11,"0.005% SDS",37,"None","B11_1",0.0169999999999999,22.727375,1.034
"B12",1,"▲erg6","pRS315-ScerERG6","B",12,"0.005% SDS",37,"None","B12_1",0.012,18.345,0.893
"C1",1,"Tet-O7-ERG3","pRS315-CalbERG3","C",1,"0.005% SDS",37,"10 µg/mL","C1_1",0.015,22.149375,0.943
"C2",1,"Tet-O7-ERG3","pRS315-CalbERG3","C",2,"0.005% SDS",37,"10 µg/mL","C2_1",0.0179999999999999,21.56275,0.996
"C3",1,"Tet-O7-ERG3","pRS315-CalbERG3","C",3,"0.005% SDS",37,"10 µg/mL","C3_1",0.018,20.493875,0.963
"C4",1,"Tet-O7-ERG6","pRS315-CalbERG6","C",4,"0.005% SDS",37,"10 µg/mL","C4_1",0.019,26.822,1.1
"C5",1,"Tet-O7-ERG6","pRS315-CalbERG6","C",5,"0.005% SDS",37,"10 µg/mL","C5_1",0.017,23.7445,1.013
"C6",1,"Tet-O7-ERG6","pRS315-CalbERG6","C",6,"0.005% SDS",37,"10 µg/mL","C6_1",0.015,21.32,0.857
"C7",1,"▲erg3","pRS315-CalbERG3","C",7,"0.005% SDS",37,"None","C7_1",0.015,19.55925,1.01
"C8",1,"▲erg3","pRS315-CalbERG3","C",8,"0.005% SDS",37,"None","C8_1",0.013,14.673625,0.885
"C9",1,"▲erg3","pRS315-CalbERG3","C",9,"0.005% SDS",37,"None","C9_1",0.016,18.764875,1.051
"C10",1,"▲erg6","pRS315-CalbERG6","C",10,"0.005% SDS",37,"None","C10_1",0.015,20.562125,0.982
"C11",1,"▲erg6","pRS315-CalbERG6","C",11,"0.005% SDS",37,"None","C11_1",0.017,20.556375,1.011
"C12",1,"▲erg6","pRS315-CalbERG6","C",12,"0.005% SDS",37,"None","C12_1",0.012,16.349625,0.957
"D1",1,"Tet-O7-ERG3","pRS315-CaurERG3","D",1,"0.005% SDS",37,"10 µg/mL","D1_1",0.014,20.673375,0.87
"D2",1,"Tet-O7-ERG3","pRS315-CaurERG3","D",2,"0.005% SDS",37,"10 µg/mL","D2_1",0.016,20.75925,0.934
"D3",1,"Tet-O7-ERG3","pRS315-CaurERG3","D",3,"0.005% SDS",37,"10 µg/mL","D3_1",0.019,22.8195,1.068
"D4",1,"Tet-O7-ERG6","pRS315-CaurERG6","D",4,"0.005% SDS",37,"10 µg/mL","D4_1",0.017,23.501625,1.017
"D5",1,"Tet-O7-ERG6","pRS315-CaurERG6","D",5,"0.005% SDS",37,"10 µg/mL","D5_1",0.02,25.3735,1.054
"D6",1,"Tet-O7-ERG6","pRS315-CaurERG6","D",6,"0.005% SDS",37,"10 µg/mL","D6_1",0.017,25.60975,1.017
"D7",1,"▲erg3","pRS315-CaurERG3","D",7,"0.005% SDS",37,"None","D7_1",0.015,21.1975,1.06
"D8",1,"▲erg3","pRS315-CaurERG3","D",8,"0.005% SDS",37,"None","D8_1",0.013,15.3115,0.891
"D9",1,"▲erg3","pRS315-CaurERG3","D",9,"0.005% SDS",37,"None","D9_1",0.012,15.89125,0.87
"D10",1,"▲erg6","pRS315-CaurERG6","D",10,"0.005% SDS",37,"None","D10_1",0.016,21.93775,1.036
"D11",1,"▲erg6","pRS315-CaurERG6","D",11,"0.005% SDS",37,"None","D11_1",0.016,21.227375,0.995
"D12",1,"▲erg6","pRS315-CaurERG6","D",12,"0.005% SDS",37,"None","D12_1",0.01,14.75375,0.829
"E1",1,"Tet-O7-ERG3","pRS315-NglaERG3","E",1,"0.005% SDS",37,"10 µg/mL","E1_1",0.016,21.085375,0.949
"E2",1,"Tet-O7-ERG3","pRS315-NglaERG3","E",2,"0.005% SDS",37,"10 µg/mL","E2_1",0.018,21.361375,0.955
"E3",1,"Tet-O7-ERG3","pRS315-NglaERG3","E",3,"0.005% SDS",37,"10 µg/mL","E3_1",0.02,23.8415,1.112
"E4",1,"Tet-O7-ERG6","pRS315-NglaERG6","E",4,"0.005% SDS",37,"10 µg/mL","E4_1",0.018,25.26275,0.998
"E5",1,"Tet-O7-ERG6","pRS315-NglaERG6","E",5,"0.005% SDS",37,"10 µg/mL","E5_1",0.0189999999999999,25.225375,1.016
"E6",1,"Tet-O7-ERG6","pRS315-NglaERG6","E",6,"0.005% SDS",37,"10 µg/mL","E6_1",0.018,26.946125,0.996
"E7",1,"▲erg3","pRS315-NglaERG3","E",7,"0.005% SDS",37,"None","E7_1",0.015,18.90775,1.054
"E8",1,"▲erg3","pRS315-NglaERG3","E",8,"0.005% SDS",37,"None","E8_1",0.012,16.1355,0.927
"E9",1,"▲erg3","pRS315-NglaERG3","E",9,"0.005% SDS",37,"None","E9_1",0.015,18.971625,1.146
"E10",1,"▲erg6","pRS315-NglaERG6","E",10,"0.005% SDS",37,"None","E10_1",0.016,21.82075,1.028
"E11",1,"▲erg6","pRS315-NglaERG6","E",11,"0.005% SDS",37,"None","E11_1",0.015,19.56325,0.957
"E12",1,"▲erg6","pRS315-NglaERG6","E",12,"0.005% SDS",37,"None","E12_1",0.011,16.271125,0.907
"F1",1,"Tet-O7-ERG3","pRS315-CparERG3","F",1,"0.005% SDS",37,"10 µg/mL","F1_1",0.00700000000000001,10.83625,0.59
"F2",1,"Tet-O7-ERG3","pRS315-CparERG3","F",2,"0.005% SDS",37,"10 µg/mL","F2_1",0.013,16.183875,0.988
"F3",1,"Tet-O7-ERG3","pRS315-CparERG3","F",3,"0.005% SDS",37,"10 µg/mL","F3_1",0.00600000000000001,7.7095,0.401
"F4",1,"Tet-O7-ERG6","pRS315-CparERG6","F",4,"0.005% SDS",37,"10 µg/mL","F4_1",0.019,25.063,1.035
"F5",1,"Tet-O7-ERG6","pRS315-CparERG6","F",5,"0.005% SDS",37,"10 µg/mL","F5_1",0.016,20.480125,0.858
"F6",1,"Tet-O7-ERG6","pRS315-CparERG6","F",6,"0.005% SDS",37,"10 µg/mL","F6_1",0.019,24.918625,1.028
"F7",1,"▲erg3","pRS315-CparERG3","F",7,"0.005% SDS",37,"None","F7_1",0.005,7.275125,0.346
"F8",1,"▲erg3","pRS315-CparERG3","F",8,"0.005% SDS",37,"None","F8_1",0.00600000000000001,7.087625,0.342
"F9",1,"▲erg3","pRS315-CparERG3","F",9,"0.005% SDS",37,"None","F9_1",0.004,6.57425,0.283
"F10",1,"▲erg6","pRS315-CparERG6","F",10,"0.005% SDS",37,"None","F10_1",0.016,19.307625,1.048
"F11",1,"▲erg6","pRS315-CparERG6","F",11,"0.005% SDS",37,"None","F11_1",0.016,17.830125,1.056
"F12",1,"▲erg6","pRS315-CparERG6","F",12,"0.005% SDS",37,"None","F12_1",0.012,16.9495,0.975
"G1",1,"Tet-O7-ERG3","pRS315-CtroERG3","G",1,"0.005% SDS",37,"10 µg/mL","G1_1",0.005,9.902375,0.43
"G2",1,"Tet-O7-ERG3","pRS315-CtroERG3","G",2,"0.005% SDS",37,"10 µg/mL","G2_1",0.012,17.89975,0.83
"G3",1,"Tet-O7-ERG3","pRS315-CtroERG3","G",3,"0.005% SDS",37,"10 µg/mL","G3_1",0.013,19.166375,0.959
"G4",1,"Tet-O7-ERG6","pRS315-CtroERG6","G",4,"0.005% SDS",37,"10 µg/mL","G4_1",0.0159999999999999,21.328875,0.935
"G5",1,"Tet-O7-ERG6","pRS315-CtroERG6","G",5,"0.005% SDS",37,"10 µg/mL","G5_1",0.016,21.513875,0.987
"G6",1,"Tet-O7-ERG6","pRS315-CtroERG6","G",6,"0.005% SDS",37,"10 µg/mL","G6_1",0.016,21.174375,0.907
"G7",1,"▲erg3","pRS315-CtroERG3","G",7,"0.005% SDS",37,"None","G7_1",0.011,15.30725,0.888
"G8",1,"▲erg3","pRS315-CtroERG3","G",8,"0.005% SDS",37,"None","G8_1",0.011,13.2915,0.816
"G9",1,"▲erg3","pRS315-CtroERG3","G",9,"0.005% SDS",37,"None","G9_1",0.00900000000000001,11.724,0.719
"G10",1,"▲erg6","pRS315-CtroERG6","G",10,"0.005% SDS",37,"None","G10_1",0.012,15.432625,0.951
"G11",1,"▲erg6","pRS315-CtroERG6","G",11,"0.005% SDS",37,"None","G11_1",0.011,14.640875,0.91
"G12",1,"▲erg6","pRS315-CtroERG6","G",12,"0.005% SDS",37,"None","G12_1",0.002,7.8745,0.242
"A1",2,"Tet-O7-ERG3","pRS315","A",1,"None",30,"10 µg/mL","A1_2",0.022,33.6739784505208,1.127
"A2",2,"Tet-O7-ERG3","pRS315","A",2,"None",30,"10 µg/mL","A2_2",0.021,32.7920831705729,1.11
"A3",2,"Tet-O7-ERG3","pRS315","A",3,"None",30,"10 µg/mL","A3_2",0.022,32.7672146484375,1.08
"A4",2,"Tet-O7-ERG6","pRS315","A",4,"None",30,"10 µg/mL","A4_2",0.022,35.9532597330729,1.151
"A5",2,"Tet-O7-ERG6","pRS315","A",5,"None",30,"10 µg/mL","A5_2",0.021,32.3594458658854,1.092
"A6",2,"Tet-O7-ERG6","pRS315","A",6,"None",30,"10 µg/mL","A6_2",0.021,31.7800967773438,1.055
"A7",2,"▲erg3","pRS315","A",7,"None",30,"None","A7_2",0.021,30.1722655924479,1.065
"A8",2,"▲erg3","pRS315","A",8,"None",30,"None","A8_2",0.0189999999999999,26.6801752278646,0.987
"A9",2,"▲erg3","pRS315","A",9,"None",30,"None","A9_2",0.019,28.5220704427083,1.006
"A10",2,"▲erg6","pRS315","A",10,"None",30,"None","A10_2",0.016,26.4998472005208,0.942
"A11",2,"▲erg6","pRS315","A",11,"None",30,"None","A11_2",0.014,23.1152288411458,0.858
"A12",2,"▲erg6","pRS315","A",12,"None",30,"None","A12_2",0.023,37.260794140625,1.104
"B1",2,"Tet-O7-ERG3","pRS315-ScerERG3","B",1,"None",30,"10 µg/mL","B1_2",0.029,38.3917495442708,1.219
"B2",2,"Tet-O7-ERG3","pRS315-ScerERG3","B",2,"None",30,"10 µg/mL","B2_2",0.026,35.8120465169271,1.171
"B3",2,"Tet-O7-ERG3","pRS315-ScerERG3","B",3,"None",30,"10 µg/mL","B3_2",0.029,40.1680368489583,1.292
"B4",2,"Tet-O7-ERG6","pRS315-ScerERG6","B",4,"None",30,"10 µg/mL","B4_2",0.028,39.1865425130208,1.262
