,reads_before,reads_after_merge,lost_merge,percent_lost_merge,nbr_seq_unique,nbr_seq_single,nbr_seq_two,reads_seq_two,percent_merged_single,percent_merged_two,reads_aligned,percent_reads_aligned
F4-500,331200.0,314844,16356.0,4.938405797101449,13620,11258,872,1744,3.5757390961873177,0.5539251184713699,303586,91.66243961352657
F4-650,311568.0,296051,15517.0,4.98029322651877,14341,12058,844,1688,4.07294689090731,0.5701720311703051,283993,91.14960458070148
F4-700,300728.0,285496,15232.0,5.065042164347849,19257,16422,1129,2258,5.75209460027461,0.7909042508476476,269074,89.47420925221462
F4-750,194949.0,184984,9965.0,5.111593288501095,7189,5715,491,982,3.089456385417117,0.5308567227435886,179269,91.95687077132993
